arm,family,layer,n,median_share,q25,q75,mean_share,median_n_atoms
control_rotation_pooled,nullold,11,375,0.053139,0.032642,0.064727,nan,nan
gauss4242,clean_last,0,125,0.367224,0.363061,0.374220,0.368362,25.0
gauss4242,clean_last,1,125,0.367690,0.360785,0.372907,0.368162,25.0
gauss4242,clean_last,2,125,0.369616,0.358637,0.374005,0.368273,25.0
gauss4242,clean_last,3,125,0.369021,0.363197,0.375454,0.369380,25.0
gauss4242,clean_last,4,125,0.368901,0.363366,0.377016,0.369641,25.0
gauss4242,clean_last,5,125,0.369675,0.362795,0.376947,0.370316,25.0
gauss4242,clean_last,6,125,0.368801,0.363519,0.376266,0.369369,25.0
gauss4242,clean_last,7,125,0.369310,0.362186,0.377468,0.370084,25.0
gauss4242,clean_last,8,125,0.371823,0.364101,0.378484,0.371380,25.0
gauss4242,clean_last,9,125,0.373260,0.365965,0.379622,0.373052,25.0
gauss4242,clean_last,10,125,0.375212,0.367963,0.383370,0.376189,25.0
gauss4242,clean_last,11,125,0.376474,0.371376,0.382315,0.376994,25.0
gauss4242,clean_mean,0,125,0.363296,0.358343,0.367542,0.363292,25.0
gauss4242,clean_mean,1,125,0.363186,0.358654,0.367758,0.362902,25.0
gauss4242,clean_mean,2,125,0.365427,0.362254,0.369658,0.365314,25.0
gauss4242,clean_mean,3,125,0.364661,0.361043,0.369880,0.365237,25.0
gauss4242,clean_mean,4,125,0.365668,0.361078,0.368981,0.365096,25.0
gauss4242,clean_mean,5,125,0.364829,0.361511,0.370364,0.365682,25.0
gauss4242,clean_mean,6,125,0.365476,0.360724,0.369780,0.365192,25.0
gauss4242,clean_mean,7,125,0.364987,0.358822,0.370777,0.364652,25.0
gauss4242,clean_mean,8,125,0.363478,0.358644,0.367766,0.363333,25.0
gauss4242,clean_mean,9,125,0.365109,0.360229,0.368220,0.364528,25.0
gauss4242,clean_mean,10,125,0.371967,0.366746,0.375432,0.371363,25.0
gauss4242,clean_mean,11,125,0.381393,0.375436,0.385402,0.380471,25.0
gauss4242,directions,0,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,1,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,2,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,3,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,4,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,5,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,6,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,7,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,8,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,9,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,10,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,directions,11,2,0.375960,0.372951,0.378969,0.375960,25.0
gauss4242,lang,0,125,0.358381,0.355423,0.361612,0.358617,25.0
gauss4242,lang,1,125,0.362849,0.358038,0.367231,0.362217,25.0
gauss4242,lang,2,125,0.363862,0.361501,0.367132,0.364010,25.0
gauss4242,lang,3,125,0.363709,0.359723,0.365417,0.362524,25.0
gauss4242,lang,4,125,0.361619,0.353737,0.364923,0.359683,25.0
gauss4242,lang,5,125,0.359648,0.357076,0.362763,0.360525,25.0
gauss4242,lang,6,125,0.358213,0.356473,0.362856,0.359192,25.0
gauss4242,lang,7,125,0.363651,0.360168,0.369495,0.364674,25.0
gauss4242,lang,8,125,0.371735,0.366605,0.374616,0.370536,25.0
gauss4242,lang,9,125,0.373610,0.365506,0.375761,0.370863,25.0
gauss4242,lang,10,125,0.370880,0.366250,0.373969,0.371482,25.0
gauss4242,lang,11,125,0.358202,0.352096,0.365549,0.359623,25.0
gauss4242,named,0,10,0.356220,0.352766,0.363638,0.357653,25.0
gauss4242,named,1,10,0.359723,0.358378,0.364760,0.361299,25.0
gauss4242,named,2,10,0.357036,0.351732,0.366266,0.358777,25.0
gauss4242,named,3,10,0.357195,0.352791,0.367632,0.361161,25.0
gauss4242,named,4,10,0.357093,0.353974,0.360640,0.358733,25.0
gauss4242,named,5,10,0.358465,0.355214,0.361859,0.360388,25.0
gauss4242,named,6,10,0.359434,0.354512,0.368212,0.363159,25.0
gauss4242,named,7,10,0.362547,0.354146,0.367068,0.361489,25.0
gauss4242,named,8,10,0.363960,0.354203,0.374062,0.364351,25.0
gauss4242,named,9,10,0.361574,0.358983,0.368060,0.364776,25.0
gauss4242,named,10,10,0.368762,0.362815,0.375019,0.369005,25.0
gauss4242,named,11,10,0.359200,0.356573,0.366763,0.362170,25.0
gauss4242,noise17,0,125,0.362161,0.357386,0.368356,0.362796,25.0
gauss4242,noise17,1,125,0.360007,0.355321,0.367173,0.361605,25.0
gauss4242,noise17,2,125,0.362228,0.358816,0.366821,0.362439,25.0
gauss4242,noise17,3,125,0.363847,0.358390,0.368171,0.363045,25.0
gauss4242,noise17,4,125,0.361248,0.356136,0.367262,0.362015,25.0
gauss4242,noise17,5,125,0.361857,0.357210,0.366198,0.361978,25.0
gauss4242,noise17,6,125,0.361823,0.357489,0.366183,0.362128,25.0
gauss4242,noise17,7,125,0.365435,0.359101,0.371124,0.365033,25.0
gauss4242,noise17,8,125,0.370157,0.363590,0.373736,0.368817,25.0
gauss4242,noise17,9,125,0.369857,0.362422,0.375728,0.369108,25.0
gauss4242,noise17,10,125,0.368204,0.365224,0.373095,0.369319,25.0
gauss4242,noise17,11,125,0.362037,0.355244,0.369532,0.362219,25.0
gauss4242,nullold,0,125,0.368583,0.362490,0.373134,0.367898,25.0
gauss4242,nullold,1,125,0.366661,0.361378,0.371280,0.366393,25.0
gauss4242,nullold,2,125,0.369870,0.365966,0.376379,0.370687,25.0
gauss4242,nullold,3,125,0.370792,0.366260,0.376780,0.371261,25.0
gauss4242,nullold,4,125,0.372082,0.367360,0.378098,0.372083,25.0
gauss4242,nullold,5,125,0.374672,0.370933,0.377815,0.374248,25.0
gauss4242,nullold,6,125,0.375055,0.370931,0.379007,0.374519,25.0
gauss4242,nullold,7,125,0.374610,0.370060,0.379448,0.374882,25.0
gauss4242,nullold,8,125,0.376205,0.371329,0.379528,0.376025,25.0
gauss4242,nullold,9,125,0.373307,0.370741,0.377540,0.373977,25.0
